City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
53,puerto natales,-51.7236,-72.4875,50.45,76,75,8.05,CL,1711576416
54,siwa oasis,29.2041,25.5195,78.4,12,100,10.22,EG,1711576416
55,uturoa,-16.7333,-151.4333,83.41,70,57,16.33,PF,1711576417
56,waitangi,-43.9535,-176.5597,56.82,78,100,3.0,NZ,1711576417
57,rikaze,29.25,88.8833,42.1,47,100,1.92,CN,1711576417
58,bredasdorp,-34.5322,20.0403,64.17,80,100,11.61,ZA,1711576417
59,nirmal,19.1,78.35,83.28,38,5,3.98,IN,1711576417
60,georgetown,5.4112,100.3354,82.35,83,20,2.3,MY,1711576292
61,chimoio,-19.1164,33.4833,67.05,93,82,1.12,MZ,1711576418
62,nizhniy odes,63.6445,54.856,15.01,96,100,4.7,RU,1711576418
63,klyuchi,52.2667,79.1667,36.93,95,98,9.89,RU,1711576418
64,isangel,-19.55,169.2667,82.51,83,75,0.0,VU,1711576368
65,alofi,-19.0595,-169.9187,85.89,79,20,8.05,NU,1711576419
66,praia da vitoria,38.7333,-27.0667,53.85,82,75,29.64,PT,1711576419
67,blackmans bay,-43.0167,147.3167,50.52,83,8,3.29,AU,1711576419
68,kaa-khem,51.6833,94.7333,14.41,86,91,2.75,RU,1711576419
69,dryden,49.7833,-92.7503,17.89,73,100,13.8,CA,1711576399
70,the bottom,17.6259,-63.2492,75.76,74,10,13.67,BQ,1711576419
71,papatowai,-46.5619,169.4708,45.37,76,95,19.28,NZ,1711576420
72,bonthe,7.5264,-12.505,78.33,88,31,5.44,SL,1711576420
73,ulsteinvik,62.3432,5.8487,41.13,76,92,3.0,NO,1711576420
74,kapa'a,22.0752,-159.319,78.78,86,75,17.27,US,1711576420
75,ilulissat,69.2167,-51.1,19.42,86,75,8.05,GL,1711576420
76,la ronge,55.1001,-105.2842,23.25,33,20,16.11,CA,1711576421
77,betio village,1.358,172.9211,86.04,81,64,12.28,KI,1711576421
78,selfoss,63.9331,-20.9971,27.28,57,0,13.6,IS,1711576421
79,puerto ayora,-0.7393,-90.3518,87.76,90,90,5.99,EC,1711576421
80,dalandzadgad,43.5708,104.425,30.85,26,11,6.58,MN,1711576421
81,bolgatanga,10.7856,-0.8514,96.35,32,92,2.55,GH,1711576421
82,khatra,22.9833,86.85,75.13,44,12,4.05,IN,1711576422
83,pathein,16.7833,94.7333,72.36,86,0,8.28,MM,1711576422
84,amboasary,-25.0333,46.3833,69.35,89,5,5.68,MG,1711576422
85,chonchi,-42.6128,-73.8092,65.41,73,18,0.83,CL,1711576422
86,al hufuf,25.3646,49.5653,64.74,45,0,2.3,SA,1711576422
87,turpan,42.9333,89.1667,61.9,32,9,1.83,CN,1711576422
88,floro,61.5996,5.0328,44.67,87,100,11.5,NO,1711576423
89,kristiansund,63.1115,7.732,42.85,70,0,8.05,NO,1711576423
90,leava,-14.3,-178.1667,84.36,69,100,5.39,WF,1711576423
91,alesund,62.4723,6.1549,41.14,81,75,14.97,NO,1711576423
92,edinburgh of the seven seas,-37.0676,-12.3116,66.83,93,100,25.01,SH,1711576423
93,greenville,35.6127,-77.3663,60.15,89,75,6.91,US,1711576424
94,tarawa,1.419,172.984,86.09,79,20,8.05,KI,1711576424
95,mount gambier,-37.8333,140.7667,58.69,78,77,3.87,AU,1711576424
96,macapa,0.0389,-51.0664,85.98,74,40,11.5,BR,1711576338
97,yarmouth,41.7057,-70.2286,52.14,89,100,6.91,US,1711576155
98,qamdo,31.1667,97.2333,18.86,32,70,1.54,CN,1711576424
99,fale old settlement,-9.3852,-171.2468,83.52,77,100,7.0,TK,1711576425
100,ust-nera,64.5667,143.2,14.31,94,100,2.19,RU,1711576425
101,nuuk,64.1835,-51.7216,21.81,93,75,11.5,GL,1711576425
102,qaqortoq,60.7167,-46.0333,19.24,95,10,1.5,GL,1711576425
103,dilling,12.05,29.65,78.13,12,4,7.07,SD,1711576425
104,mareeba,-17.0,145.4333,76.44,93,100,1.63,AU,1711576426
105,mugia,43.1041,-9.2179,44.91,66,80,31.03,ES,1711576426
106,mata de sao joao,-12.5303,-38.2992,82.15,93,70,3.18,BR,1711576278
107,la passe,45.5549,-0.8967,48.43,79,92,28.25,FR,1711576426
108,kodiak,57.79,-152.4072,33.31,69,100,13.8,US,1711576386
109,xining,36.6167,101.7667,35.19,64,96,1.79,CN,1711576426
110,dolores,-36.3132,-57.6792,69.08,75,93,8.19,AR,1711576427
111,luanco,43.6152,-5.7934,48.58,72,96,20.0,ES,1711576427
112,mount pearl,47.5166,-52.7813,34.32,59,75,8.05,CA,1711576427
113,sydney mines,46.2367,-60.2177,37.09,97,100,9.22,CA,1711576428
114,new norfolk,-42.7826,147.0587,51.71,76,26,2.42,AU,1711576428
115,tazovsky,67.4667,78.7,-20.76,100,40,2.48,RU,1711576428
116,anadyr,64.75,177.4833,1.9,77,75,8.95,RU,1711576428
117,saudarkrokur,65.7461,-19.6394,13.82,87,7,4.72,IS,1711576428
118,thinadhoo,0.5333,72.9333,81.95,74,100,4.88,MV,1711576429
119,cooper's town,26.8667,-77.5167,72.82,69,16,8.99,BS,1711576429
120,tieling,42.2931,123.8414,45.84,68,100,18.66,CN,1711576429
121,isafjordur,66.0755,-23.124,22.01,72,38,4.5,IS,1711576429
122,capanema,-1.1958,-47.1808,75.58,97,98,4.38,BR,1711576429
123,luderitz,-26.6481,15.1594,60.37,89,0,16.91,NA,1711576430
124,kimbe,-5.5502,150.1429,81.72,85,67,1.45,PG,1711576430
125,hermanus,-34.4187,19.2345,64.8,82,100,13.94,ZA,1711576430
126,yuzhno-kurilsk,44.0306,145.8556,26.38,89,12,5.44,RU,1711576430
127,luanda,-8.8368,13.2343,84.2,84,75,6.91,AO,1711576205
128,vanino,49.0869,140.2543,28.67,78,43,1.28,RU,1711576430
129,ondjiva,-17.0667,15.7333,71.64,83,0,5.75,AO,1711576366
130,talnakh,69.4865,88.3972,-10.41,95,99,5.26,RU,1711576431
131,ahuacatlan,21.05,-104.4833,93.9,5,0,7.14,MX,1711576431
132,barra de santo antonio,-9.4047,-35.5072,81.68,78,100,9.1,BR,1711576431
133,villa gesell,-37.2639,-56.973,73.06,77,100,11.83,AR,1711576431
134,tabou,4.423,-7.3528,81.3,88,2,4.97,CI,1711576431
135,jaguaribe,-5.8906,-38.6219,76.39,91,97,6.87,BR,1711576432
136,nicoya,10.1483,-85.452,90.28,55,67,5.82,CR,1711576408
137,nemuro,43.3236,145.575,30.25,76,2,5.1,JP,1711576432
138,al wajh,26.2455,36.4525,73.35,21,0,5.75,SA,1711576432
139,chissamba,-12.1667,17.3333,64.33,90,89,1.7,AO,1711576432
140,gobabis,-22.45,18.9667,63.36,85,99,9.08,NA,1711576432
141,santa ana,33.7456,-117.8678,75.96,57,75,10.36,US,1711576433
142,lompoc,34.6391,-120.4579,69.78,68,20,13.8,US,1711576196
143,cill airne,52.05,-9.5167,35.29,88,41,6.8,IE,1711576433
144,al burayqah,30.4062,19.5739,66.99,69,57,28.21,LY,1711576433
145,susanville,40.4163,-120.653,51.64,58,40,14.97,US,1711576433
146,oyama,36.3,139.8,47.59,49,100,3.18,JP,1711576174
147,xudat,41.631,48.681,46.22,64,1,6.78,AZ,1711576434
148,utrik,11.2278,169.8474,80.13,77,35,20.15,MH,1711576434
149,dolinsk,47.35,142.8,30.42,76,13,6.76,RU,1711576434
150,sultandagi,38.5311,31.2281,51.22,78,29,6.49,TR,1711576434
151,arraial do cabo,-22.9661,-42.0278,75.16,88,75,5.75,BR,1711576435
152,iskateley,67.6803,53.1512,-0.98,99,55,5.99,RU,1711576435
153,vila franca do campo,37.7167,-25.4333,59.41,81,83,27.29,PT,1711576435
154,ottumwa,41.02,-92.4113,46.94,45,0,14.97,US,1711576435
155,vadso,70.0744,29.7487,23.16,68,0,10.36,NO,1711576435
156,sungailiat,-1.85,106.1333,79.25,85,100,5.73,ID,1711576436
157,punta arenas,-53.15,-70.9167,46.51,87,100,3.44,CL,1711576436
158,antalaha,-14.9003,50.2788,75.88,97,100,12.15,MG,1711576436
159,wamba,8.9333,8.6,85.41,28,75,4.14,NG,1711576436
160,thompson,55.7435,-97.8558,21.36,35,100,20.71,CA,1711576436
161,west fargo,46.875,-96.9004,30.2,43,0,18.41,US,1711576299
162,martinopolis,-22.1458,-51.1708,76.32,93,100,6.35,BR,1711576437
163,valle de la pascua,9.2155,-66.0073,92.16,34,86,11.41,VE,1711576437
164,port alfred,-33.5906,26.891,66.18,98,100,7.29,ZA,1711576437
165,petropavlovsk-kamchatsky,53.0452,158.6483,18.19,49,0,6.71,RU,1711576437
166,kuta,-8.7233,115.1723,80.55,88,40,2.3,ID,1711576437
167,enewetak,11.3474,162.3373,80.37,74,96,16.28,MH,1711576438
168,constantia,44.1833,28.65,47.08,90,28,13.15,RO,1711576438
169,barcelos,41.5388,-8.6151,51.94,78,100,19.1,PT,1711576438
170,taguatinga,-12.3857,-46.5711,82.96,57,91,3.53,BR,1711576438
171,kingston,17.997,-76.7936,87.17,60,20,12.66,JM,1711576141
172,dumai,1.6833,101.45,74.71,90,93,1.99,ID,1711576438
173,atafu village,-8.5421,-172.5159,83.82,72,100,4.45,TK,1711576439
174,katsuura,35.1333,140.3,52.83,62,99,5.61,JP,1711576439
175,geraldton,-28.7667,114.6,57.61,94,0,6.91,AU,1711576439
176,guerrero negro,27.9769,-114.0611,72.25,39,0,10.94,MX,1711576251
177,buka,40.8108,69.1986,61.36,60,71,4.63,UZ,1711576439
178,port elizabeth,-33.918,25.5701,68.09,95,75,3.44,ZA,1711576439
179,invercargill,-46.4,168.35,49.01,68,94,18.01,NZ,1711576168
180,suva,-18.1416,178.4415,81.88,83,75,0.0,FJ,1711576440
181,siyabuswa,-25.1132,29.0445,69.57,65,15,5.28,ZA,1711576440
182,kolonia,50.9333,6.95,47.97,83,0,6.91,DE,1711576440
183,constitucion,-35.3333,-72.4167,64.96,72,27,14.74,CL,1711576440
184,beau vallon,-20.4189,57.6953,77.23,83,75,10.36,MU,1711576441
185,st. john's,47.5649,-52.7093,35.15,59,75,8.05,CA,1711576343
186,baikonur,45.6167,63.3167,51.03,84,100,1.01,KZ,1711576441
187,san cristobal,7.7669,-72.225,75.38,64,52,5.32,VE,1711576441
188,hithadhoo,-0.6,73.0833,81.99,75,97,5.59,MV,1711576441
189,fort bragg,35.139,-79.006,67.55,91,100,8.05,US,1711576442
190,collie,-33.3667,116.15,57.18,45,0,3.38,AU,1711576442
191,sinabang,2.4803,96.3801,80.6,79,84,1.48,ID,1711576442
192,thunder bay,48.4001,-89.3168,19.38,68,100,16.11,CA,1711576281
193,letterkenny,54.95,-7.7333,40.89,94,100,7.07,IE,1711576159
194,gazojak,41.1875,61.4036,50.0,70,100,15.5,TM,1711576442
195,labrador city,52.9463,-66.9114,33.71,83,100,21.99,CA,1711576443
196,lihue,21.9789,-159.3672,78.04,88,75,17.27,US,1711576224
197,bowen,-20.0167,148.2333,79.57,84,52,9.69,AU,1711576443
198,vuktyl,63.8567,57.3094,18.1,93,100,3.0,RU,1711576443
199,hukumati azrah,34.1736,69.6457,43.27,92,100,3.8,AF,1711576444
200,hovd,48.0056,91.6419,33.8,43,100,1.63,MN,1711576264
201,kapit,2.0167,112.9333,73.99,100,99,0.72,MY,1711576444
202,kulachi,31.9286,70.4592,70.75,59,97,9.6,PK,1711576444
203,cabedelo,-6.9811,-34.8339,79.47,86,100,6.29,BR,1711576444
204,sirjan,29.452,55.6814,54.41,44,0,2.75,IR,1711576445
205,ulundi,-28.3352,31.4162,66.34,94,54,0.38,ZA,1711576445
206,nouadhibou,20.931,-17.0347,66.18,63,43,14.97,MR,1711576445
207,hamilton,39.1834,-84.5333,50.92,57,75,11.5,US,1711576277
208,remire-montjoly,4.9167,-52.2667,80.64,83,0,4.61,GF,1711576445
209,pierre,44.3683,-100.351,35.28,53,20,5.75,US,1711576238
210,abashiri,44.0213,144.2697,30.69,69,2,4.94,JP,1711576446
211,egilsstadir,65.2653,-14.3948,28.31,100,100,17.27,IS,1711576446
212,lata,40.1629,-8.3327,52.07,89,100,9.4,PT,1711576446
213,lae,-6.7221,146.9847,77.67,73,94,7.38,PG,1711576446
214,moyo,3.6609,31.7247,69.51,85,72,2.51,UG,1711576447
215,nar'yan-mar,67.6713,53.087,-0.89,99,54,5.99,RU,1711576447
216,benjamin constant,-4.3831,-70.0311,78.93,94,40,1.14,BR,1711576447
217,east london,-33.0153,27.9116,69.91,79,100,5.35,ZA,1711576447
218,inhambane,-23.865,35.3833,72.61,80,5,6.58,MZ,1711576447
219,queenstown,-31.8976,26.8753,60.76,92,100,2.91,ZA,1711576448
220,mersa matruh,31.3525,27.2453,70.0,40,0,8.05,EG,1711576448
221,chernyshevskiy,63.0128,112.4714,-31.9,100,97,2.01,RU,1711576448
222,golere,16.2557,-14.1017,87.46,16,36,11.32,SN,1711576448
223,antofagasta,-23.65,-70.4,72.68,72,7,4.52,CL,1711576404
224,arica,-18.475,-70.3042,83.75,61,0,10.36,CL,1711576401
225,sao jose da coroa grande,-8.8978,-35.1478,80.17,84,98,7.23,BR,1711576348
226,chirilagua,13.2203,-88.1386,92.89,48,1,7.81,SV,1711576449
227,margaret river,-33.95,115.0667,58.66,77,0,3.65,AU,1711576424
228,cedeira,43.6797,-8.0209,43.97,81,100,35.14,ES,1711576449
229,solnechnyy,50.7214,136.6319,25.79,85,97,4.72,RU,1711576450
230,chos malal,-37.3781,-70.2709,80.26,19,14,10.58,AR,1711576450
231,ouesso,1.6136,16.0517,75.15,81,88,1.83,CG,1711576450
232,flying fish cove,-10.4217,105.6791,78.48,78,75,9.22,CX,1711576450
233,hatogaya-honcho,35.8342,139.7364,48.18,65,100,5.14,JP,1711576451
234,bogande,12.9714,-0.1436,91.99,30,67,6.71,BF,1711576451
235,lesneven,48.5723,-4.3213,37.58,96,75,10.36,FR,1711576451
236,punta del este,-34.9667,-54.95,71.71,78,75,10.0,UY,1711576451
237,ola,59.5833,151.2833,18.25,90,100,2.84,RU,1711576451
238,coquimbo,-29.9533,-71.3436,64.13,82,75,9.22,CL,1711576397
239,chichiriviche,10.9333,-68.2772,81.64,70,5,8.52,VE,1711576452
240,raton,36.9034,-104.4391,45.21,25,75,3.44,US,1711576452
241,turaif,31.6725,38.6637,62.85,42,0,11.5,SA,1711576452
242,ternate,0.8,127.4,79.88,84,84,5.14,ID,1711576452
243,vernal,40.4555,-109.5287,49.32,29,75,5.01,US,1711576199
244,mar del plata,-38.0023,-57.5575,75.94,72,0,5.99,AR,1711576368
245,campo maior,-4.8278,-42.1686,75.63,94,79,2.73,BR,1711576453
246,nuku'alofa,-21.1333,-175.2,79.14,94,75,2.3,TO,1711576453
247,argo,37.6333,22.7333,63.79,60,25,2.77,GR,1711576454
248,yeonggwang,35.275,126.5094,49.66,86,100,7.72,KR,1711576454
249,neiafu,-18.65,-173.9833,84.88,84,40,6.91,TO,1711576454
250,aripuana,-9.1667,-60.6333,72.37,99,100,3.0,BR,1711576454
251,bathsheba,13.2167,-59.5167,84.81,65,20,11.5,BB,1711576454
252,sitka,57.0531,-135.33,51.69,54,40,3.44,US,1711576455
253,bridgewater,44.3835,-64.5155,43.11,99,100,8.05,CA,1711576455
254,mendota,36.7536,-120.3816,70.27,38,90,6.46,US,1711576455
255,tan-tan,28.438,-11.1032,60.57,62,0,6.44,MA,1711576455
256,keflavik,64.0049,-22.5624,30.63,64,20,14.97,IS,1711576456
257,noshiro,40.2039,140.0242,37.63,62,21,5.99,JP,1711576456
258,tralee,52.2704,-9.7026,36.1,86,52,8.12,IE,1711576456
259,cabo san lucas,22.8909,-109.9124,85.6,41,0,8.05,MX,1711576217
260,carnarvon,-24.8667,113.6333,76.77,53,0,12.59,AU,1711576266
261,kirsanov,52.6549,42.7224,32.14,93,8,11.59,RU,1711576456
262,jumla,29.2747,82.1838,45.66,83,61,3.87,NP,1711576457
263,candelaria,13.9311,121.4233,75.87,95,16,5.41,PH,1711576457
264,lamu,-2.2717,40.902,82.74,75,79,6.42,KE,1711576457
265,berdigestyakh,62.0989,126.6992,-1.21,89,100,6.38,RU,1711576457
266,grande prairie,55.1667,-118.8027,42.98,39,75,10.36,CA,1711576204
267,igarka,67.4667,86.5833,-24.23,100,19,2.84,RU,1711576458
268,adrar,20.5022,-10.0711,72.41,22,100,9.57,MR,1711576458
269,medina,24.4686,39.6142,82.83,15,0,9.22,SA,1711576347
270,vorgashor,67.5833,63.95,-12.66,100,77,4.65,RU,1711576241
271,cidreira,-30.1811,-50.2056,73.11,77,76,15.1,BR,1711576458
272,eyl,7.9803,49.8164,81.93,74,50,16.44,SO,1711576459
273,nanakuli,21.3906,-158.1547,80.55,71,100,8.05,US,1711576459
274,oodweyne,9.4092,45.064,75.34,61,76,3.13,SO,1711576459
275,palmas de monte alto,-14.2672,-43.1619,84.96,44,76,8.7,BR,1711576459
276,khanty-mansiysk,61.0042,69.0019,14.11,79,100,15.66,RU,1711576459
277,smithers,54.7804,-127.1743,48.52,40,75,3.44,CA,1711576459
278,ruma,45.0081,19.8222,60.58,72,100,19.64,RS,1711576460
279,lamarque,-39.423,-65.7021,74.32,33,87,13.2,AR,1711576460
280,kasama,-10.2129,31.1808,62.67,98,35,3.56,ZM,1711576460
281,saipan,15.1355,145.701,79.65,1,40,4.61,MP,1711576460
282,lyambir',54.2817,45.1249,34.27,92,7,15.99,RU,1711576460
283,happy valley-goose bay,53.3168,-60.3315,32.31,100,100,5.75,CA,1711576461
284,celestun,20.8667,-90.4,81.79,74,2,11.5,MX,1711576461
285,puerto deseado,-47.7503,-65.8938,57.83,55,6,21.03,AR,1711576279
286,boguchany,58.3814,97.4531,4.86,98,100,3.0,RU,1711576461
287,sao joao da barra,-21.6403,-41.0511,77.09,90,97,9.17,BR,1711576461
288,starke,29.9441,-82.1098,75.52,83,40,17.27,US,1711576462
289,mccook,40.2019,-100.6257,54.05,45,0,5.75,US,1711576462
290,kinmparana,12.8402,-4.9199,93.54,32,97,7.94,ML,1711576462
291,kyren,51.6828,102.1408,19.94,86,99,1.99,RU,1711576462
292,revda,56.801,59.9303,33.8,99,100,5.86,RU,1711576463
293,brookings,44.3114,-96.7984,27.18,66,0,18.41,US,1711576444
294,nadym,65.5333,72.5167,-11.18,100,94,5.53,RU,1711576463
295,fort mcmurray,56.7268,-111.381,22.59,79,100,17.27,CA,1711576307
296,kiffa,16.6166,-11.4045,84.85,20,78,7.92,MR,1711576463
297,flin flon,54.7682,-101.865,24.64,33,0,4.61,CA,1711576189
298,kapuskasing,49.4169,-82.4331,32.09,69,100,20.71,CA,1711576262
299,polyarnyy,69.1989,33.4478,10.29,95,24,10.69,RU,1711576464
300,wailua homesteads,22.0669,-159.378,77.43,86,75,17.27,US,1711576464
301,atar,20.5169,-13.0499,74.43,23,100,7.43,MR,1711576464
302,suntar,62.1444,117.6319,-12.08,100,94,3.91,RU,1711576464
303,bismarck,46.8083,-100.7837,26.44,51,0,9.22,US,1711576465
304,taoudenni,22.6783,-3.9836,75.0,13,0,5.7,ML,1711576465
305,stony plain,53.5334,-114.0021,53.35,32,75,12.66,CA,1711576369
306,yigo village,13.5361,144.8886,78.12,90,100,11.5,GU,1711576465
307,luena,-11.7833,19.9167,66.38,94,100,4.61,AO,1711576465
308,ulanhot,46.0833,122.0833,28.98,47,32,27.56,CN,1711576466
309,port augusta,-32.5,137.7667,63.3,51,11,5.41,AU,1711576466
310,arkhangel'sk,64.5401,40.5433,10.51,92,0,2.24,RU,1711576466
311,tolanaro,-25.0319,46.9987,71.67,94,75,16.11,MG,1711576466
312,palmer,42.1584,-72.3287,57.67,73,100,5.75,US,1711576467
313,lebu,-37.6167,-73.65,59.54,84,0,14.58,CL,1711576467
314,nizhneangarsk,55.7833,109.55,-8.39,85,60,7.85,RU,1711576467
315,ambon,-3.6954,128.1814,81.88,95,40,3.44,ID,1711576467
316,ribeira brava,32.65,-17.0667,65.01,81,61,13.2,PT,1711576468
317,dudinka,69.4058,86.1778,-15.32,99,98,5.01,RU,1711576468
318,tejen,37.3834,60.5054,51.42,61,20,20.76,TM,1711576468
319,colonia,50.9333,6.95,47.97,83,0,6.91,DE,1711576440
320,porto novo,6.4965,2.6036,85.82,79,82,9.66,BJ,1711576468
321,dosso,13.049,3.1937,93.69,28,59,14.81,NE,1711576469
322,ishikawa,26.4233,127.8214,66.16,74,0,4.61,JP,1711576469
323,butembo,0.15,29.2833,58.73,98,98,0.49,CD,1711576469
324,sola,-13.8833,167.55,81.27,94,100,0.0,VU,1711576469
325,guarapari,-20.6667,-40.4975,77.9,90,98,6.44,BR,1711576357
326,ruidoso,33.3317,-105.673,51.04,23,0,16.11,US,1711576470
327,contamana,-7.3333,-75.0167,86.07,60,99,2.37,PE,1711576470
328,marabba,12.35,32.1833,82.02,9,15,9.01,SD,1711576470
329,bubaque,11.2833,-15.8333,77.2,71,3,16.08,GW,1711576470
330,elverum,60.8819,11.5623,34.65,100,100,2.82,NO,1711576471
331,varkaus,62.3153,27.873,32.31,98,100,6.93,FI,1711576471
332,khorixas,-20.3667,14.9667,70.88,75,100,9.6,NA,1711576471
333,sittwe,20.15,92.9,73.98,76,1,6.44,MM,1711576471
334,ust-tsilma,65.441,52.1498,-4.4,100,92,1.99,RU,1711576471
335,zouerate,22.7187,-12.4521,67.21,28,14,8.05,MR,1711576472
336,jayapura,-2.5333,140.7,76.39,91,99,5.26,ID,1711576386
337,kalevala,65.2,31.1667,25.09,85,100,3.0,RU,1711576472
338,bukene,-4.2333,32.8833,66.15,93,45,3.29,TZ,1711576472
339,tazacorte,28.629,-17.9293,63.57,82,40,4.0,ES,1711576473
340,green river,41.5286,-109.4662,44.98,42,46,8.01,US,1711576473
341,oranjemund,-28.55,16.4333,59.97,97,25,6.69,NA,1711576473
342,sinan,34.8262,126.1086,50.11,91,100,12.46,KR,1711576473
343,plaza huincul,-38.926,-69.2086,78.15,10,6,4.0,AR,1711576474
344,crane,31.3974,-102.3501,68.99,13,65,17.54,US,1711576474
345,ancud,-41.8697,-73.8203,58.53,72,0,3.8,CL,1711576474
346,zarghun shahr,32.8473,68.4457,48.0,80,100,3.94,AF,1711576474
347,ziro,27.6333,93.8333,43.05,90,23,2.51,IN,1711576474
348,natal,-5.795,-35.2094,77.65,94,75,5.75,BR,1711576250
349,tierp,60.3427,17.5181,33.62,96,87,2.8,SE,1711576475
350,shanhaiguan,39.9988,119.7564,44.73,78,3,3.8,CN,1711576475
351,zaragoza,41.6561,-0.8773,61.25,56,75,11.5,ES,1711576373
352,la junta,37.985,-103.5438,57.06,35,65,8.95,US,1711576475
353,kitimat,54.0524,-128.6534,53.91,56,100,3.0,CA,1711576388
354,tura,25.5198,90.2201,67.73,69,31,3.4,IN,1711576476
355,sur,22.5667,59.5289,75.94,63,99,1.32,OM,1711576476
356,kenora,49.8167,-94.4337,18.57,73,100,13.8,CA,1711576183
357,okha,53.5739,142.9478,20.82,91,86,7.52,RU,1711576476
358,hasaki,35.7333,140.8333,45.28,52,100,6.35,JP,1711576476
359,florence,43.7667,11.25,51.24,84,20,2.3,IT,1711576476
360,eagleton village,35.7951,-83.9318,67.89,47,75,5.75,US,1711576477
361,fairfield,41.2668,-73.3162,51.67,73,100,4.61,US,1711576341
362,baganga,7.5739,126.56,77.86,87,100,4.38,PH,1711576477
363,nantucket,41.2835,-70.0995,50.14,92,100,13.8,US,1711576191
364,orapa,-21.2833,25.3667,73.24,50,78,14.14,BW,1711576477
365,pangody,65.85,74.4859,-14.85,100,83,5.73,RU,1711576478
366,piti village,13.4626,144.6933,79.68,90,100,11.5,GU,1711576478
367,tsiombe,-25.3,45.4833,71.87,86,41,10.49,MG,1711576478
